источник,предмет,классы,сезон,этап,тип,файл,папка
ВсОШ,iikt,5,2026-27,пригласительный,решения,sol-iikt-4-5-prigl-msk-26-27.pdf,deploy/всош/2026-27/prigl/информатика
ВсОШ,iikt,"8,10",2026-27,пригласительный,задачи,tasks-iikt-8-10-prigl-msk-26-27.pdf,deploy/всош/2026-27/prigl/информатика
ВсОШ,iikt,7,2026-27,пригласительный,решения,sol-iikt-6-7-prigl-msk-26-27.pdf,deploy/всош/2026-27/prigl/информатика
ВсОШ,iikt,"8,10",2026-27,пригласительный,задачи,tasks-ai-8-10-prigl-msk-26-27.pdf,deploy/всош/2026-27/prigl/информатика
ВсОШ,chem,9,2026-27,пригласительный,задачи,tasks-chem-9-prigl-msk-26-27.pdf,deploy/всош/2026-27/prigl/химия
ВсОШ,chem,8,2026-27,пригласительный,задачи,tasks-chem-8-prigl-msk-26-27.pdf,deploy/всош/2026-27/prigl/химия
ВсОШ,chem,8,2026-27,пригласительный,решения,sol-chem-8-prigl-msk-26-27.pdf,deploy/всош/2026-27/prigl/химия
ВсОШ,chem,9,2026-27,пригласительный,решения,sol-chem-9-prigl-msk-26-27.pdf,deploy/всош/2026-27/prigl/химия
ВсОШ,chem,7,2026-27,пригласительный,задачи,tasks-chem-7-prigl-msk-26-27.pdf,deploy/всош/2026-27/prigl/химия
ВсОШ,chem,6,2026-27,пригласительный,задачи,tasks-chem-6-prigl-msk-26-27.pdf,deploy/всош/2026-27/prigl/химия
ВсОШ,chem,6,2026-27,пригласительный,решения,sol-chem-6-prigl-msk-26-27.pdf,deploy/всош/2026-27/prigl/химия
ВсОШ,chem,7,2026-27,пригласительный,решения,sol-chem-7-prigl-msk-26-27.pdf,deploy/всош/2026-27/prigl/химия
ВсОШ,math,8,2026-27,пригласительный,задачи,tasks-math-8-prigl-msk-26-27.pdf,deploy/всош/2026-27/prigl/математика
ВсОШ,math,9,2026-27,пригласительный,задачи,tasks-math-9-prigl-msk-26-27.pdf,deploy/всош/2026-27/prigl/математика
ВсОШ,math,9,2026-27,пригласительный,решения,sol-math-9-prigl-msk-26-27.pdf,deploy/всош/2026-27/prigl/математика
ВсОШ,math,8,2026-27,пригласительный,решения,sol-math-8-prigl-msk-26-27.pdf,deploy/всош/2026-27/prigl/математика
ВсОШ,math,3,2026-27,пригласительный,задачи,tasks-math-3-prigl-msk-26-27.pdf,deploy/всош/2026-27/prigl/математика
